total_act,val_loss,step,val_f1,epoch,total_macs,est_act,val_classifier_loss,val_precision,val_recall,total_weights,val_error,val_accuracy,train_precision,train_f1,train_classifier_loss,train_error,lr-SGD,train_accuracy,train_loss,train_recall,test_recall,test_accuracy,test_precision,test_f1,test_classifier_loss,test_loss,test_error
1185044.0,2.2076098918914795,20,0.14170941710472107,0,291308800.0,131072.0,2.2076098918914795,0.3197447657585144,0.19326241314411163,2272192.0,0.803955078125,0.196044921875,,,,,,,,,,,,,,,
1185044.0,1.8685266971588135,41,0.2803941071033478,1,291308800.0,131072.0,1.8685266971588135,0.36656853556632996,0.3074159026145935,2272192.0,0.691162109375,0.308837890625,,,,,,,,,,,,,,,
,,49,,,,,,,,,,,,,,,0.03861455405407693,,,,,,,,,,
,,49,,2,,,,,,,,,0.3718908429145813,0.3592979907989502,1.7090020179748535,0.62841796875,,0.37158203125,1.7090020179748535,0.37196779251098633,,,,,,,
1185044.0,1.6069493293762207,62,0.40218520164489746,2,291308800.0,131072.0,1.6069493293762207,0.4512801468372345,0.4278908371925354,2272192.0,0.571044921875,0.428955078125,,,,,,,,,,,,,,,
1185044.0,4.853979587554932,83,0.10670922696590424,3,291308800.0,131072.0,4.853979587554932,0.35918936133384705,0.15494266152381897,2272192.0,0.841796875,0.158203125,,,,,,,,,,,,,,,
,,99,,,,,,,,,,,,,,,0.10273216242793726,,,,,,,,,,
,,99,,4,,,,,,,,,0.5434554815292358,0.5326515436172485,1.30144202709198,0.46337890625,,0.53662109375,1.30144202709198,0.5422507524490356,,,,,,,
1185044.0,1.368017315864563,104,0.4953967034816742,4,291308800.0,131072.0,1.368017315864563,0.5553444623947144,0.508314847946167,2272192.0,0.490478515625,0.509521484375,,,,,,,,,,,,,,,
1185044.0,1.7158293724060059,125,0.4006713032722473,5,291308800.0,131072.0,1.7158293724060059,0.4897351861000061,0.433541476726532,2272192.0,0.565673828125,0.434326171875,,,,,,,,,,,,,,,
1185044.0,1.3239257335662842,146,0.5490362644195557,6,291308800.0,131072.0,1.3239257335662842,0.6329146027565002,0.5411356687545776,2272192.0,0.46142578125,0.53857421875,,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,,0.19264861287285473,,,,,,,,,,
,,149,,7,,,,,,,,,0.6125624775886536,0.6057451963424683,1.076789379119873,0.38818359375,,0.61181640625,1.076789379119873,0.6125078797340393,,,,,,,
1185044.0,1.134713888168335,167,0.5987385511398315,7,291308800.0,131072.0,1.134713888168335,0.6976920366287231,0.5958130359649658,2272192.0,0.40283203125,0.59716796875,,,,,,,,,,,,,,,
1185044.0,1.1912121772766113,188,0.5994796752929688,8,291308800.0,131072.0,1.1912121772766113,0.6526408195495605,0.600438117980957,2272192.0,0.399169921875,0.600830078125,,,,,,,,,,,,,,,
,,199,,,,,,,,,,,,,,,0.286327352172559,,,,,,,,,,
,,199,,9,,,,,,,,,0.6815627813339233,0.6819311380386353,0.8876049518585205,0.3173828125,,0.6826171875,0.8876049518585205,0.6874662041664124,,,,,,,
1185044.0,0.9047596454620361,209,0.6863601207733154,9,291308800.0,131072.0,0.9047596454620361,0.7528209686279297,0.6815580129623413,2272192.0,0.31640625,0.68359375,,,,,,,,,,,,,,,
1185044.0,0.8873937129974365,230,0.6824927926063538,10,291308800.0,131072.0,0.8873937129974365,0.737483024597168,0.6959000825881958,2272192.0,0.30419921875,0.69580078125,,,,,,,,,,,,,,,
,,249,,,,,,,,,,,,,,,0.3608097724905935,,,,,,,,,,
,,249,,11,,,,,,,,,0.7485522627830505,0.7480271458625793,0.7157636880874634,0.2490234375,,0.7509765625,0.7157636880874634,0.7514787912368774,,,,,,,
1185044.0,0.7173708081245422,251,0.7503306865692139,11,291308800.0,131072.0,0.7173708081245422,0.7723949551582336,0.7557080984115601,2272192.0,0.241455078125,0.758544921875,,,,,,,,,,,,,,,
1185044.0,0.7952191829681396,272,0.7156776189804077,12,291308800.0,131072.0,0.7952191829681396,0.7624286413192749,0.7200985550880432,2272192.0,0.27880859375,0.72119140625,,,,,,,,,,,,,,,
1185044.0,0.6448329091072083,293,0.7755688428878784,13,291308800.0,131072.0,0.6448329091072083,0.7916448712348938,0.7756233811378479,2272192.0,0.222412109375,0.777587890625,,,,,,,,,,,,,,,
,,299,,,,,,,,,,,,,,,0.39784186345518024,,,,,,,,,,
,,299,,14,,,,,,,,,0.7937119007110596,0.7906291484832764,0.596910297870636,0.208984375,,0.791015625,0.596910297870636,0.793199896812439,,,,,,,
1185044.0,0.7742429971694946,314,0.7355234622955322,14,291308800.0,131072.0,0.7742429971694946,0.786729633808136,0.7307979464530945,2272192.0,0.2685546875,0.7314453125,,,,,,,,,,,,,,,
1185044.0,0.5851609706878662,335,0.8033283948898315,15,291308800.0,131072.0,0.5851609706878662,0.8226333260536194,0.8043702840805054,2272192.0,0.1943359375,0.8056640625,,,,,,,,,,,,,,,
,,349,,,,,,,,,,,,,,,0.39776617418036475,,,,,,,,,,
,,349,,16,,,,,,,,,0.8082281947135925,0.806664228439331,0.5615217089653015,0.1953125,,0.8046875,0.5615217089653015,0.8064722418785095,,,,,,,
1185044.0,0.6253373622894287,356,0.7743449211120605,16,291308800.0,131072.0,0.6253373622894287,0.7970677018165588,0.7771005630493164,2272192.0,0.2216796875,0.7783203125,,,,,,,,,,,,,,,
1185044.0,0.6409275531768799,377,0.7859055399894714,17,291308800.0,131072.0,0.6409275531768799,0.8163784742355347,0.7839143872261047,2272192.0,0.215087890625,0.784912109375,,,,,,,,,,,,,,,
1185044.0,0.6820960640907288,398,0.7625859975814819,18,291308800.0,131072.0,0.6820960640907288,0.8259068727493286,0.7560843229293823,2272192.0,0.23974609375,0.76025390625,,,,,,,,,,,,,,,
,,399,,,,,,,,,,,,,,,0.38694494224180614,,,,,,,,,,
,,399,,19,,,,,,,,,0.816192626953125,0.8141416311264038,0.5195953845977783,0.1845703125,,0.8154296875,0.5195953845977783,0.8153156042098999,,,,,,,
1185044.0,0.5100917220115662,419,0.8222735524177551,19,291308800.0,131072.0,0.5100917220115662,0.8308765888214111,0.8239966630935669,2272192.0,0.17578125,0.82421875,,,,,,,,,,,,,,,
1185044.0,0.5159643888473511,440,0.8252652883529663,20,291308800.0,131072.0,0.5159643888473511,0.8432844877243042,0.8251305222511292,2272192.0,0.17529296875,0.82470703125,,,,,,,,,,,,,,,
,,449,,,,,,,,,,,,,,,0.3676177505078842,,,,,,,,,,
,,449,,21,,,,,,,,,0.8549891710281372,0.8550794720649719,0.4251689910888672,0.14697265625,,0.85302734375,0.4251689910888672,0.8557942509651184,,,,,,,
1185044.0,0.4659285247325897,461,0.8507818579673767,21,291308800.0,131072.0,0.4659285247325897,0.8639819622039795,0.8475784063339233,2272192.0,0.15234375,0.84765625,,,,,,,,,,,,,,,
1185044.0,0.4489131569862366,482,0.8498129844665527,22,291308800.0,131072.0,0.4489131569862366,0.8665079474449158,0.8478260636329651,2272192.0,0.151123046875,0.848876953125,,,,,,,,,,,,,,,
,,499,,,,,,,,,,,,,,,0.34066398633930794,,,,,,,,,,
,,499,,23,,,,,,,,,0.8592048287391663,0.8584913015365601,0.42402878403663635,0.14208984375,,0.85791015625,0.42402878403663635,0.8589593172073364,,,,,,,
1185044.0,0.4309700131416321,503,0.8512023687362671,23,291308800.0,131072.0,0.4309700131416321,0.8547030687332153,0.8527945876121521,2272192.0,0.146728515625,0.853271484375,,,,,,,,,,,,,,,
