epoch,est_act,lr-SGD,step,test_accuracy,test_classifier_loss,test_error,test_f1,test_loss,test_precision,test_recall,total_act,total_macs,total_weights,train_accuracy,train_classifier_loss,train_error,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_classifier_loss,val_error,val_f1,val_loss,val_precision,val_recall
,,0.012061568941931666,49,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,,,,,,,,,,,0.25,2.0149049758911133,0.75,0.17654094099998474,2.0149049758911133,0.221746027469635,0.1956973373889923,,,,,,,
,,0.012251272248453793,99,,,,,,,,,,,,,,,,,,,,,,,,
0,,,99,,,,,,,,,,,0.234375,2.039966583251953,0.765625,0.2264474779367447,2.039966583251953,0.272053599357605,0.2470436692237854,,,,,,,
,,0.01256896665626045,149,,,,,,,,,,,,,,,,,,,,,,,,
0,,,149,,,,,,,,,,,0.375,1.7693157196044922,0.625,0.3538971245288849,1.7693157196044922,0.387404203414917,0.36632147431373596,,,,,,,
,,0.013014369296363681,199,,,,,,,,,,,,,,,,,,,,,,,,
0,,,199,,,,,,,,,,,0.34375,1.8809337615966797,0.65625,0.31430870294570923,1.8809337615966797,0.36679598689079285,0.31098508834838867,,,,,,,
,,0.01358708359082289,249,,,,,,,,,,,,,,,,,,,,,,,,
0,,,249,,,,,,,,,,,0.4609375,1.6617412567138672,0.5390625,0.43887633085250854,1.6617412567138672,0.5142644047737122,0.4572743773460388,,,,,,,
,,0.014286599605850048,299,,,,,,,,,,,,,,,,,,,,,,,,
0,,,299,,,,,,,,,,,0.3828125,1.6012792587280273,0.6171875,0.38942795991897583,1.6012792587280273,0.4424583911895752,0.4125325679779053,,,,,,,
,,0.015112294505844837,349,,,,,,,,,,,,,,,,,,,,,,,,
0,,,349,,,,,,,,,,,0.3203125,1.6474494934082031,0.6796875,0.3033830225467682,1.6474494934082031,0.3706626296043396,0.35957610607147217,,,,,,,
0,131072.0,,350,,,,,,,,2813972.0,555422720.0,11164352.0,,,,,,,,0.40504807233810425,1.6525133848190308,0.5949519276618958,0.39477044343948364,1.6525133848190308,0.42730286717414856,0.406943142414093
,,0.016063433107955882,399,,,,,,,,,,,,,,,,,,,,,,,,
1,,,399,,,,,,,,,,,0.421875,1.4424420595169067,0.578125,0.38932135701179504,1.4424420595169067,0.4080283045768738,0.39966651797294617,,,,,,,
,,0.0171391685366728,449,,,,,,,,,,,,,,,,,,,,,,,,
1,,,449,,,,,,,,,,,0.4296875,1.5752182006835938,0.5703125,0.4100364148616791,1.5752182006835938,0.4484262466430664,0.46298980712890625,,,,,,,
,,0.01833854297786841,499,,,,,,,,,,,,,,,,,,,,,,,,
1,,,499,,,,,,,,,,,0.5,1.4974784851074219,0.5,0.4818001985549927,1.4974784851074219,0.5639964938163757,0.488301545381546,,,,,,,
,,0.01966048853161778,549,,,,,,,,,,,,,,,,,,,,,,,,
1,,,549,,,,,,,,,,,0.40625,1.67453134059906,0.59375,0.3959712088108063,1.67453134059906,0.4019845724105835,0.4079545736312866,,,,,,,
,,0.021103828163035687,599,,,,,,,,,,,,,,,,,,,,,,,,
1,,,599,,,,,,,,,,,0.4609375,1.3906707763671875,0.5390625,0.4468291997909546,1.3906707763671875,0.4590056240558624,0.46422815322875977,,,,,,,
,,0.022667276750286014,649,,,,,,,,,,,,,,,,,,,,,,,,
1,,,649,,,,,,,,,,,0.546875,1.2130072116851807,0.453125,0.5336195230484009,1.2130072116851807,0.5598398447036743,0.5530797243118286,,,,,,,
,,0.024349442228829288,699,,,,,,,,,,,,,,,,,,,,,,,,
1,,,699,,,,,,,,,,,0.5078125,1.3086827993392944,0.4921875,0.5004446506500244,1.3086827993392944,0.5487060546875,0.5253571271896362,,,,,,,
1,131072.0,,701,,,,,,,,2813972.0,555422720.0,11164352.0,,,,,,,,0.4711538553237915,1.4774366617202759,0.5288461446762085,0.45677149295806885,1.4774366617202759,0.5593785047531128,0.471371591091156
,,0.026148826830890537,749,,,,,,,,,,,,,,,,,,,,,,,,
2,,,749,,,,,,,,,,,0.515625,1.1627845764160156,0.484375,0.48285961151123047,1.1627845764160156,0.49744200706481934,0.4998430609703064,,,,,,,
,,0.02806382841904237,799,,,,,,,,,,,,,,,,,,,,,,,,
2,,,799,,,,,,,,,,,0.5625,1.0943090915679932,0.4375,0.5581642389297485,1.0943090915679932,0.5882251858711243,0.569868803024292,,,,,,,
,,0.030092741912717824,849,,,,,,,,,,,,,,,,,,,,,,,,
2,,,849,,,,,,,,,,,0.6015625,1.1634105443954468,0.3984375,0.5966600179672241,1.1634105443954468,0.6247619390487671,0.6392010450363159,,,,,,,
,,0.03223376080638091,899,,,,,,,,,,,,,,,,,,,,,,,,
2,,,899,,,,,,,,,,,0.5703125,1.2281184196472168,0.4296875,0.5453758239746094,1.2281184196472168,0.5430264472961426,0.5691855549812317,,,,,,,
,,0.03448497877800455,949,,,,,,,,,,,,,,,,,,,,,,,,
2,,,949,,,,,,,,,,,0.5703125,1.1901715993881226,0.4296875,0.5582889318466187,1.1901715993881226,0.5625998973846436,0.5878612995147705,,,,,,,
,,0.03684439138642315,999,,,,,,,,,,,,,,,,,,,,,,,,
2,,,999,,,,,,,,,,,0.640625,1.0464801788330078,0.359375,0.6311706900596619,1.0464801788330078,0.6475762128829956,0.6420847177505493,,,,,,,
,,0.03930989785604816,1049,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1049,,,,,,,,,,,0.6328125,1.0876930952072144,0.3671875,0.6332563757896423,1.0876930952072144,0.6847926378250122,0.6581862568855286,,,,,,,
2,131072.0,,1052,,,,,,,,2813972.0,555422720.0,11164352.0,,,,,,,,0.6362179517745972,1.0287501811981201,0.36378204822540283,0.6395604610443115,1.0287501811981201,0.6592566967010498,0.6371800303459167
,,0.04187930294735853,1099,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1099,,,,,,,,,,,0.5703125,1.0878968238830566,0.4296875,0.5604210495948792,1.0878968238830566,0.5641102194786072,0.5767478346824646,,,,,,,
,,0.04455031891149941,1149,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1149,,,,,,,,,,,0.6484375,0.9283689856529236,0.3515625,0.6479405164718628,0.9283689856529236,0.6692720651626587,0.640401303768158,,,,,,,
,,0.04732056752725017,1199,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1199,,,,,,,,,,,0.5625,1.187636137008667,0.4375,0.5690459609031677,1.187636137008667,0.5781313180923462,0.5789533853530884,,,,,,,
,,0.0501875822185463,1249,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1249,,,,,,,,,,,0.5625,1.0757124423980713,0.4375,0.55832839012146,1.0757124423980713,0.5733225345611572,0.5852327942848206,,,,,,,
,,0.05314881025067164,1299,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1299,,,,,,,,,,,0.59375,1.0321760177612305,0.40625,0.582467257976532,1.0321760177612305,0.6181516647338867,0.5984773635864258,,,,,,,
,,0.05620161500316412,1349,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1349,,,,,,,,,,,0.6484375,0.9269610643386841,0.3515625,0.6553179621696472,0.9269610643386841,0.6662313342094421,0.6613178849220276,,,,,,,
,,0.0593432783174119,1399,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1399,,,,,,,,,,,0.703125,0.8151443004608154,0.296875,0.6758328080177307,0.8151443004608154,0.676007866859436,0.7088046073913574,,,,,,,
3,131072.0,,1403,,,,,,,,2813972.0,555422720.0,11164352.0,,,,,,,,0.6394230723381042,1.0078788995742798,0.36057692766189575,0.6355484127998352,1.0078788995742798,0.6674082279205322,0.6392041444778442
,,0.06257100291684956,1449,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1449,,,,,,,,,,,0.640625,1.0389049053192139,0.359375,0.6749939322471619,1.0389049053192139,0.691352367401123,0.6985667943954468,,,,,,,
,,0.06588191489759912,1499,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1499,,,,,,,,,,,0.6875,0.8223718404769897,0.3125,0.6718657612800598,0.8223718404769897,0.7610387206077576,0.6721484065055847,,,,,,,
,,0.06927306628733912,1549,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1549,,,,,,,,,,,0.65625,0.8590406179428101,0.34375,0.632482647895813,0.8590406179428101,0.644314169883728,0.637171745300293,,,,,,,
,,0.07274143767012206,1599,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1599,,,,,,,,,,,0.75,0.6973258852958679,0.25,0.7345515489578247,0.6973258852958679,0.7473264932632446,0.7485969066619873,,,,,,,
